reference,decision-notice,planning-condition,organisation,requested-by,discharged-by
2011_0734-con01,2011_0734-dn,con01,local-authority:HCK,,
2011_0734-con02,2011_0734-dn,con02,local-authority:HCK,,
2011_0734-con03,2011_0734-dn,con03,local-authority:HCK,,
2011_0734-con04,2011_0734-dn,con04,local-authority:HCK,,
2011_0734-con05,2011_0734-dn,con05,local-authority:HCK,,
2011_0734-con06,2011_0734-dn,con06,local-authority:HCK,,
2011_0734-con07,2011_0734-dn,con07,local-authority:HCK,,
2011_0734-con08,2011_0734-dn,con08,local-authority:HCK,,
2011_0734-con09,2011_0734-dn,con09,local-authority:HCK,,
2011_0734-con10,2011_0734-dn,con10,local-authority:HCK,,
2011_0734-con11,2011_0734-dn,con11,local-authority:HCK,,
2011_0734-con12,2011_0734-dn,con12,local-authority:HCK,,
2011_0734-con13,2011_0734-dn,con13,local-authority:HCK,,
2011_0734-con14,2011_0734-dn,con14,local-authority:HCK,,
2011_0734-con15,2011_0734-dn,con15,local-authority:HCK,,
2011_0734-con16,2011_0734-dn,con16,local-authority:HCK,,
2011_0734-con17,2011_0734-dn,con17,local-authority:HCK,,
2011_0734-con18,2011_0734-dn,con18,local-authority:HCK,,
2011_0734-con19,2011_0734-dn,con19,local-authority:HCK,,
2011_0734-con20,2011_0734-dn,con20,local-authority:HCK,,
2011_0734-con21,2011_0734-dn,con21,local-authority:HCK,,
2011_0734-con22,2011_0734-dn,con22,local-authority:HCK,,
2011_0734-con23,2011_0734-dn,con23,local-authority:HCK,,
2011_0734-con24,2011_0734-dn,con24,local-authority:HCK,,
2011_0734-con25,2011_0734-dn,con25,local-authority:HCK,,
2011_0734-con26,2011_0734-dn,con26,local-authority:HCK,,
2011_0734-con27,2011_0734-dn,con27,local-authority:HCK,,
2011_0734-con28,2011_0734-dn,con28,local-authority:HCK,,
2011_0734-con29,2011_0734-dn,con29,local-authority:HCK,,
2011_0734-con30,2011_0734-dn,con30,local-authority:HCK,,
2011_0734-con31,2011_0734-dn,con31,local-authority:HCK,,
2011_0734-con32,2011_0734-dn,con32,local-authority:HCK,,
2011_0734-con33,2011_0734-dn,con33,local-authority:HCK,,
