reference,description,key-field,name,source,entry-date,start-date,end-date
advertisement-type,"A list of types of advertisements relevant to planning applications, used to classify and describe the nature of advertisements for regulatory and reporting purposes.
",reference,Advertisement type,data/codelist/advertisement-type.csv,2025-08-13,,
affected-area-type,"Specifies whether a biodiversity or geological feature is on the development site or on land directly next to it.
",reference,Affected area type,data/codelist/affected-area-type.csv,2025-08-13,,
applicant-interest-type,"Applicant's relationship to the property or land in question.
",reference,Applicant interest type,data/codelist/applicant-interest-type.csv,2025-08-13,,
application-subtype,"A list of valid planning application subtypes grouped by application type
",reference,Application subtype,data/planning-application-subtype.csv,2025-10-29,,
application-type,"A list of valid application types
",reference,Application type,data/planning-application-type.csv,2025-08-138,,
bng-exemption-type,"Types of exemption from Biodiversity Net Gain (BNG) requirements.
",reference,BNG exemption type,data/codelist/bng-exemption-type.csv,2025-08-15,,
building-element-type,"A set of building elements that applicants are expected to provide material information for.
",reference,Building element type,data/codelist/building-element-type.csv,2025-08-15,,
contact-priority,"Indicates the priority of a contact method, such as primary or secondary.
",reference,Contact priority,data/codelist/contact-priority.csv,2025-08-13,,
day-type,"Specifies the type of day, such as Monday to Friday, Saturday, Sunday, or Bank holiday, that is used to set operating hours
",reference,Day type,data/codelist/day-type.csv,2025-08-13,,
decision-maker,"The decision-maker for a planning application.
",reference,Decision maker,data/codelist/decision-maker.csv,2026-01-23,,
designation,"Designations
",reference,Designation,data/codelist/designation.csv,2025-08-15,,
development-phase,"The development phase codelist defines the various stages or phases that an extraction of oil and gas project may progress through, such as exploratory and production. This helps standardize the terminology used to describe the status of projects.
",reference,Development phase,data/codelist/development-phase.csv,2025-08-13,,
foul-sewage-disposal-type,"Foul sewage disposal type.
",reference,Foul sewage disposal type,data/codelist/foul-sewage-disposal-type.csv,2025-08-13,,
grounds-ldc-post-apr-2024,"Grounds for lawful development certificate applications post April 2024.
",reference,Grounds LDC post April 2024,data/codelist/grounds-ldc-post-apr-2024.csv,2025-08-15,,
grounds-ldc-pre-apr-2024,"Grounds for lawful development certificate applications pre April 2024.
",reference,Grounds LDC pre April 2024,data/codelist/grounds-ldc-pre-apr-2024.csv,2025-08-15,,
hazardous-sub-type,"Hazardous substance types for planning applications.
",reference,Hazardous substance type,data/codelist/hazardous-sub-type.csv,2025-08-13,,
hedgerow-interest-type,"Declaration of applicant's interest in the land for hedgerow removal notice applications.
",reference,Hedgerow interest type,data/codelist/hedgerow-interest-type.csv,2025-08-13,,
housing-type,"Types of housing relevant to planning applications.
",reference,Housing type,data/codelist/housing-type.csv,2025-08-13,,
illumination-method,"The methods of illumination for an advert
",reference,Illumination method,data/codelist/illumination-method.csv,2026-01-13,,
illumination-type,"The types of illumination for an advert
",reference,Illumination type,data/codelist/illumination-type.csv,2025-08-13,,
lawful-dev-cert-need,"Types of lawful development certificate needs for planning applications.
",reference,Lawful development certificate need,data/codelist/lawful-dev-cert-need.csv,2025-08-13,,
lb-alteration-type,"Types of listed building alterations for list building consent applications.
",reference,Listed building alteration type,data/codelist/lb-alteration-type.csv,2025-08-13,,
listed-building-grade,"The grades assigned to listed buildings
",reference,Listed building grade,https://dataset-editor.planning.data.gov.uk/dataset/listed-building-grade.csv,2025-08-14,,
non-residential-measurement-type,"Types of non-residential measurement for planning applications.
",reference,Non-residential measurement type,data/codelist/non-residential-measurement-type.csv,2025-08-13,,
oilgas-permission-type,"Types of permission for onshore oil nd gas extraction applications.
",reference,Oil and gas permission type,data/codelist/oilgas-permission-type.csv,2025-08-13,,
operation-type,"Types of operation for planning applications.
",reference,Operation type,data/codelist/operation-type.csv,2025-08-13,,
organisations,"Organisations relevant in planning
",reference,Organisation,data/codelist/organisations.csv,2026-01-23,,
ownership-cert-type,"Types of ownership certificate for planning applications.
",reference,Ownership certificate type,data/codelist/ownership-cert-type.csv,2025-08-13,,
parking-space-type,"Types of parking spaces, including car, cycle, disability, and other categories.
",reference,Parking space type,data/codelist/parking-space-type.csv,2025-08-15,,
permission-process-event,Codes describing events in the processing of a planning application.,reference,Permission process event,data/codelist/permission-process-event.csv,2026-01-28,,
planning-authority,"The authorities that can perform planning duties in England
",reference,Planning authority,data/codelist/planning-authority.csv,2025-11-24,,
planning-requirement,"A list of planning requirements that may be requested as part of a planning application. These requirements include various documents, reports, and assessments that support planning applications.
",reference,Planning requirement,data/planning-requirement.csv,2025-10-30,,
provided-by,"Indicates whether information was provided by the applicant or calculated/determined by the system or an external service.
",reference,Provided by,data/codelist/provided-by.csv,2025-08-14,,
reserved-matter-type,"The types of reserved matters covered in an outline planning application.
",reference,Reserved matter type,data/codelist/reserved-matter-type.csv,2025-03-19,,
rights-of-way-answer,"Indicates whether the statement about rights of way is true, false, or unknown.
",reference,Rights of way answer,data/codelist/rights-of-way-answer.csv,2025-08-15,,
site-constraint,"Site constraints that may apply to a development site, such as conservation areas, national parks, or other protected areas.
",reference,Site constraint,data/codelist/site-constraint.csv,2025-08-13,,
